"y001";"y002";"y003";"y004";"y005";"y006";"y007";"y008";"y009";"y010";"y011";"y012";"y013";"y014";"y015";"y016";"y017";"y018";"y019";"y020"
"x001";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"x002";0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1
"x003";0;1;1;0;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;1
"x004";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"x005";0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1
"x006";1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"x007";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0
"x008";1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1
"x009";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0
"x010";1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;1;1;0
"x011";0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1
"x012";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"x013";0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0
"x014";0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0
"x015";1;0;0;1;0;1;1;0;1;0;1;0;0;1;0;1;1;0;0;1
"x016";0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1
"x017";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"x018";0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0
"x019";0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"x020";0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0
