"y001";"y002";"y003";"y004";"y005";"y006";"y007";"y008";"y009";"y010";"y011";"y012";"y013";"y014";"y015";"y016";"y017";"y018";"y019";"y020"
"x001";1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0
"x002";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"x003";0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"x004";0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0
"x005";0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0
"x006";1;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;1
"x007";1;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0
"x008";0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0
"x009";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
"x010";1;0;0;1;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0
"x011";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"x012";0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0
"x013";0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0
"x014";0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0
"x015";0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0
"x016";0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0
"x017";1;0;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;0;1
"x018";0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0
"x019";0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"x020";0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
