"y01";"y02";"y03";"y04";"y05";"y06";"y07";"y08";"y09";"y10";"y11";"y12";"y13";"y14";"y15";"y16";"y17";"y18";"y19";"y20"
"x01";0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
"x02";0;1;0;1;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0
"x03";0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;1;1;1;1;0
"x04";0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0
"x05";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"x06";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"x07";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"x08";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"x09";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"x10";0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
"x11";0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1
"x12";0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1
"x13";0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1
"x14";0;0;0;0;0;1;1;1;0;1;1;1;1;1;0;0;1;1;1;0
"x15";0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;1;1;1;0
"x16";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"x17";0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;1;1;0;1
"x18";0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1
"x19";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1
"x20";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
